          Time          EPELX           EPELY           EPELZ          EPELXY          EPELYZ          EPELXZ           EPEL1          EPEL2          EPEL3         EPELINT          EPELEQ
   1.00000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   2.00000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   3.50000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   5.75000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.87500E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   1.00000E-04     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   1.09900E-03    3.90000E-04   -1.00000E-03    3.90000E-04    3.25261E-19   -5.42101E-20   -1.08420E-19    3.90000E-04    3.90000E-04   -1.00000E-03    1.39000E-03    9.26667E-04
   2.09800E-03    7.80000E-04   -2.00000E-03    7.80000E-04     0.0000       -3.25261E-19    1.08420E-19    7.80000E-04    7.80000E-04   -2.00000E-03    2.78000E-03    1.85333E-03
   3.09800E-03    1.17039E-03   -3.00100E-03    1.17039E-03    2.16840E-19    1.08420E-19    4.33681E-19    1.17039E-03    1.17039E-03   -3.00100E-03    4.17139E-03    2.78093E-03
   4.09800E-03    1.40019E-03   -3.59645E-03    1.40019E-03     0.0000       -9.66530E-20    2.89959E-19    1.40019E-03    1.40019E-03   -3.59645E-03    4.99664E-03    3.33109E-03
   5.09800E-03    1.48974E-03   -3.82614E-03    1.48974E-03    3.56164E-19   -7.02664E-19    6.83336E-19    1.48974E-03    1.48974E-03   -3.82614E-03    5.31588E-03    3.54392E-03
   6.09800E-03    1.58113E-03   -4.05453E-03    1.58113E-03   -6.42952E-20   -5.82815E-19    5.66784E-19    1.58113E-03    1.58113E-03   -4.05453E-03    5.63566E-03    3.75711E-03
   7.09800E-03    1.67091E-03   -4.28406E-03    1.67091E-03   -5.38339E-20    2.38249E-19   -1.34102E-18    1.67091E-03    1.67091E-03   -4.28406E-03    5.95497E-03    3.96998E-03
   8.09800E-03    1.76040E-03   -4.51379E-03    1.76040E-03   -4.54528E-20    1.11657E-18    5.15489E-19    1.76040E-03    1.76040E-03   -4.51379E-03    6.27420E-03    4.18280E-03
   9.09800E-03    1.84995E-03   -4.74348E-03    1.84995E-03   -7.76551E-19    1.50330E-18   -1.14875E-19    1.84995E-03    1.84995E-03   -4.74348E-03    6.59344E-03    4.39563E-03
   1.00980E-02    1.93953E-03   -4.97316E-03    1.93953E-03   -6.65213E-19   -5.69745E-19   -9.84048E-20    1.93953E-03    1.93953E-03   -4.97316E-03    6.91269E-03    4.60846E-03
   1.10980E-02    2.02910E-03   -5.20283E-03    2.02910E-03    1.74269E-19   -3.85598E-18    2.89035E-19    2.02910E-03    2.02910E-03   -5.20283E-03    7.23194E-03    4.82129E-03
   1.20980E-02    2.11868E-03   -5.43251E-03    2.11868E-03    1.51115E-19    7.93006E-19   -8.77550E-19    2.11868E-03    2.11868E-03   -5.43251E-03    7.55118E-03    5.03412E-03
   1.30980E-02    2.20825E-03   -5.66218E-03    2.20825E-03   -1.38065E-18    6.91371E-19   -1.52128E-18    2.20825E-03    2.20825E-03   -5.66218E-03    7.87043E-03    5.24696E-03
   1.40980E-02    2.29782E-03   -5.89186E-03    2.29782E-03   -4.49748E-19    3.26577E-18    9.47019E-19    2.29782E-03    2.29782E-03   -5.89186E-03    8.18968E-03    5.45979E-03
   1.50980E-02    2.38740E-03   -6.12153E-03    2.38740E-03   -3.95914E-19   -5.61068E-19   -3.11648E-19    2.38740E-03    2.38740E-03   -6.12153E-03    8.50893E-03    5.67262E-03
