          Time          EPPLX           EPPLY           EPPLZ          EPPLXY          EPPLYZ          EPPLXZ           EPPL1          EPPL2          EPPL3         EPPLINT         EPPLEQV           EPEQ            PLWK
   1.00000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   2.00000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   3.50000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   5.75000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.87500E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   1.00000E-04     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   1.09900E-03     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   2.09800E-03     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   3.09800E-03     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   4.09800E-03    2.02776E-04   -4.05552E-04    2.02776E-04     0.0000       -1.17673E-20    3.53018E-20    2.02776E-04    2.02776E-04   -4.05552E-04    6.08328E-04    4.05552E-04    4.05552E-04   -5.75602E-05
   5.09800E-03    5.88432E-04   -1.17686E-03    5.88432E-04    7.75168E-20   -1.64698E-19    1.84025E-19    5.88432E-04    5.88432E-04   -1.17686E-03    1.76530E-03    1.17686E-03    1.17686E-03    1.38304E-05
   6.09800E-03    9.74735E-04   -1.94947E-03    9.74735E-04    6.42952E-20   -2.84547E-19    3.00578E-19    9.74735E-04    9.74735E-04   -1.94947E-03    2.92420E-03    1.94947E-03    1.94947E-03    1.16711E-03
   7.09800E-03    1.36047E-03   -2.72094E-03    1.36047E-03    5.38339E-20   -2.38249E-19    3.99811E-20    1.36047E-03    1.36047E-03   -2.72094E-03    4.08141E-03    2.72094E-03    2.72094E-03    2.31859E-03
   8.09800E-03    1.74611E-03   -3.49221E-03    1.74611E-03    4.54528E-20   -3.23640E-20    1.35032E-19    1.74611E-03    1.74611E-03   -3.49221E-03    5.23832E-03    3.49221E-03    3.49221E-03    2.38997E-03
   9.09800E-03    2.13176E-03   -4.26352E-03    2.13176E-03   -9.08105E-20    2.31424E-19    1.14875E-19    2.13176E-03    2.13176E-03   -4.26352E-03    6.39528E-03    4.26352E-03    4.26352E-03    2.46136E-03
   1.00980E-02    2.51743E-03   -5.03485E-03    2.51743E-03   -2.02149E-19    1.36064E-19    9.84048E-20    2.51743E-03    2.51743E-03   -5.03485E-03    7.55228E-03    5.03485E-03    5.03485E-03    2.53276E-03
   1.10980E-02    2.90309E-03   -5.80618E-03    2.90309E-03   -1.74269E-19   -4.80829E-19    1.44646E-19    2.90309E-03    2.90309E-03   -5.80618E-03    8.70927E-03    5.80618E-03    5.80618E-03    3.68401E-03
   1.20980E-02    3.28875E-03   -6.57750E-03    3.28875E-03   -1.51115E-19   -3.59325E-19    1.01880E-20    3.28875E-03    3.28875E-03   -6.57750E-03    9.86625E-03    6.57750E-03    6.57750E-03    3.75540E-03
   1.30980E-02    3.67441E-03   -7.34883E-03    3.67441E-03   -3.54076E-19   -2.57690E-19   -2.13447E-19    3.67441E-03    3.67441E-03   -7.34883E-03    1.10232E-02    7.34883E-03    7.34883E-03    4.90665E-03
   1.40980E-02    4.06008E-03   -8.12015E-03    4.06008E-03   -4.17614E-19    2.03678E-19   -7.96574E-20    4.06008E-03    4.06008E-03   -8.12015E-03    1.21802E-02    8.12015E-03    8.12015E-03    6.05790E-03
