          Time          EPELX           EPELY           EPELZ          EPELXY          EPELYZ          EPELXZ           EPEL1          EPEL2          EPEL3         EPELINT          EPELEQ
   1.00000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   2.00000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   3.50000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   5.75000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.87500E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   1.00000E-04     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   1.09900E-03    3.90000E-04   -1.00000E-03    3.90000E-04   -4.33681E-19     0.0000         0.0000        3.90000E-04    3.90000E-04   -1.00000E-03    1.39000E-03    9.26667E-04
   2.09800E-03    7.80000E-04   -2.00000E-03    7.80000E-04   -8.67362E-19     0.0000         0.0000        7.80000E-04    7.80000E-04   -2.00000E-03    2.78000E-03    1.85333E-03
   3.09800E-03    1.17039E-03   -3.00100E-03    1.17039E-03    1.73472E-18     0.0000         0.0000        1.17039E-03    1.17039E-03   -3.00100E-03    4.17139E-03    2.78093E-03
   4.09800E-03    1.40198E-03   -3.59518E-03    1.40198E-03     0.0000         0.0000         0.0000        1.40198E-03    1.40198E-03   -3.59518E-03    4.99716E-03    3.33144E-03
   5.09800E-03    1.48995E-03   -3.82599E-03    1.48995E-03    2.85006E-18     0.0000         0.0000        1.48995E-03    1.48995E-03   -3.82599E-03    5.31594E-03    3.54396E-03
   6.09800E-03    1.58105E-03   -4.05459E-03    1.58105E-03    6.68076E-18     0.0000         0.0000        1.58105E-03    1.58105E-03   -4.05459E-03    5.63564E-03    3.75709E-03
   7.09800E-03    1.67089E-03   -4.28408E-03    1.67089E-03    5.59370E-18     0.0000         0.0000        1.67089E-03    1.67089E-03   -4.28408E-03    5.95496E-03    3.96998E-03
   8.09800E-03    1.76040E-03   -4.51379E-03    1.76040E-03    1.20461E-17     0.0000         0.0000        1.76040E-03    1.76040E-03   -4.51379E-03    6.27420E-03    4.18280E-03
   9.09800E-03    1.84996E-03   -4.74348E-03    1.84996E-03    1.02479E-17     0.0000         0.0000        1.84996E-03    1.84996E-03   -4.74348E-03    6.59344E-03    4.39563E-03
   1.00980E-02    1.93953E-03   -4.97316E-03    1.93953E-03   -1.37467E-19     0.0000         0.0000        1.93953E-03    1.93953E-03   -4.97316E-03    6.91269E-03    4.60846E-03
   1.10980E-02    2.02910E-03   -5.20283E-03    2.02910E-03   -1.80642E-17     0.0000         0.0000        2.02910E-03    2.02910E-03   -5.20283E-03    7.23194E-03    4.82129E-03
   1.20980E-02    2.11868E-03   -5.43251E-03    2.11868E-03   -1.86726E-17     0.0000         0.0000        2.11868E-03    2.11868E-03   -5.43251E-03    7.55118E-03    5.03412E-03
   1.30980E-02    2.20825E-03   -5.66218E-03    2.20825E-03    3.21172E-17     0.0000         0.0000        2.20825E-03    2.20825E-03   -5.66218E-03    7.87043E-03    5.24696E-03
   1.40980E-02    2.29782E-03   -5.89186E-03    2.29782E-03   -5.29824E-18     0.0000         0.0000        2.29782E-03    2.29782E-03   -5.89186E-03    8.18968E-03    5.45979E-03
   1.50980E-02    2.38740E-03   -6.12153E-03    2.38740E-03    1.67151E-17     0.0000         0.0000        2.38740E-03    2.38740E-03   -6.12153E-03    8.50893E-03    5.67262E-03
   1.60980E-02    2.47697E-03   -6.35121E-03    2.47697E-03   -6.69379E-18     0.0000         0.0000        2.47697E-03    2.47697E-03   -6.35121E-03    8.82818E-03    5.88545E-03
