          Time          EPPLX           EPPLY           EPPLZ          EPPLXY          EPPLYZ          EPPLXZ           EPPL1          EPPL2          EPPL3         EPPLINT         EPPLEQV           EPEQ            PLWK
   1.00000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   2.00000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   3.50000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   5.75000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.87500E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   1.00000E-04     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   1.09900E-03     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   2.09800E-03     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   3.09800E-03     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   4.09800E-03    2.03410E-04   -4.06819E-04    2.03410E-04     0.0000         0.0000         0.0000        2.03410E-04    2.03410E-04   -4.06819E-04    6.10229E-04    4.06819E-04    4.06819E-04   -5.76781E-05
   5.09800E-03    5.88505E-04   -1.17701E-03    5.88505E-04    6.19388E-19     0.0000         0.0000        5.88505E-04    5.88505E-04   -1.17701E-03    1.76551E-03    1.17701E-03    1.17701E-03    1.35051E-05
   6.09800E-03    9.74707E-04   -1.94941E-03    9.74707E-04    1.99286E-18     0.0000         0.0000        9.74707E-04    9.74707E-04   -1.94941E-03    2.92412E-03    1.94941E-03    1.94941E-03    8.50979E-05
   7.09800E-03    1.36046E-03   -2.72093E-03    1.36046E-03    3.07992E-18     0.0000         0.0000        1.36046E-03    1.36046E-03   -2.72093E-03    4.08139E-03    2.72093E-03    2.72093E-03    1.56526E-04
   8.09800E-03    1.74611E-03   -3.49221E-03    1.74611E-03    5.30115E-18     0.0000         0.0000        1.74611E-03    1.74611E-03   -3.49221E-03    5.23832E-03    3.49221E-03    3.49221E-03    2.27912E-04
   9.09800E-03    2.13176E-03   -4.26352E-03    2.13176E-03    7.09937E-18     0.0000         0.0000        2.13176E-03    2.13176E-03   -4.26352E-03    6.39529E-03    4.26352E-03    4.26352E-03    2.99302E-04
   1.00980E-02    2.51743E-03   -5.03485E-03    2.51743E-03    7.07636E-18     0.0000         0.0000        2.51743E-03    2.51743E-03   -5.03485E-03    7.55228E-03    5.03485E-03    5.03485E-03    3.70696E-04
   1.10980E-02    2.90309E-03   -5.80618E-03    2.90309E-03    4.18639E-18     0.0000         0.0000        2.90309E-03    2.90309E-03   -5.80618E-03    8.70927E-03    5.80618E-03    5.80618E-03    1.52195E-03
   1.20980E-02    3.28875E-03   -6.57750E-03    3.28875E-03    1.32538E-18     0.0000         0.0000        3.28875E-03    3.28875E-03   -6.57750E-03    9.86625E-03    6.57750E-03    6.57750E-03    1.59334E-03
   1.30980E-02    3.67441E-03   -7.34883E-03    3.67441E-03    6.04675E-18     0.0000         0.0000        3.67441E-03    3.67441E-03   -7.34883E-03    1.10232E-02    7.34883E-03    7.34883E-03    2.74459E-03
   1.40980E-02    4.06008E-03   -8.12015E-03    4.06008E-03    5.29824E-18     0.0000         0.0000        4.06008E-03    4.06008E-03   -8.12015E-03    1.21802E-02    8.12015E-03    8.12015E-03    3.89584E-03
   1.50980E-02    4.44574E-03   -8.89148E-03    4.44574E-03    7.57105E-18     0.0000         0.0000        4.44574E-03    4.44574E-03   -8.89148E-03    1.33372E-02    8.89148E-03    8.89148E-03    3.96723E-03
