             r             UX              SX              SY              SZ
    1.0000   -.5867E-01   -.2542E+01   -.3100E+01   -.3481E+01   
    1.4750   -.2794E-01   -.2778E+01   -.3321E+01   -.3799E+01   
    1.9500   -.1647E-01   -.3063E+01   -.3659E+01   -.3800E+01   
    2.4250   -.1072E-01   -.3298E+01   -.3806E+01   -.3829E+01   
    2.9000   -.7506E-02   -.3479E+01   -.3932E+01   -.3925E+01   
    3.3750   -.5539E-02   -.3619E+01   -.4039E+01   -.4030E+01   
    3.8500   -.4263E-02   -.3730E+01   -.4130E+01   -.4124E+01   
    4.3250   -.3393E-02   -.3824E+01   -.4211E+01   -.4209E+01   
    4.8000   -.2766E-02   -.3907E+01   -.4283E+01   -.4285E+01   
    5.2750   -.2310E-02   -.3976E+01   -.4347E+01   -.4351E+01   
    5.7500   -.1962E-02   -.4042E+01   -.4408E+01   -.4414E+01   
    6.2250   -.1696E-02   -.4098E+01   -.4462E+01   -.4468E+01   
    6.7000   -.1481E-02   -.4153E+01   -.4515E+01   -.4521E+01   
    7.1750   -.1315E-02   -.4202E+01   -.4553E+01   -.4559E+01   
    7.6500   -.1175E-02   -.4245E+01   -.4576E+01   -.4582E+01   
    8.1250   -.1061E-02   -.4289E+01   -.4599E+01   -.4605E+01   
    8.6000   -.9681E-03   -.4321E+01   -.4603E+01   -.4608E+01   
    9.0750   -.8881E-03   -.4346E+01   -.4591E+01   -.4596E+01   
    9.5500   -.8203E-03   -.4371E+01   -.4580E+01   -.4585E+01   
   10.0250   -.7644E-03   -.4395E+01   -.4569E+01   -.4573E+01   
   10.5000   -.7167E-03   -.4407E+01   -.4563E+01   -.4567E+01   
   10.9750   -.6749E-03   -.4420E+01   -.4557E+01   -.4561E+01   
   11.4500   -.6390E-03   -.4432E+01   -.4551E+01   -.4556E+01   
   11.9250   -.6089E-03   -.4444E+01   -.4546E+01   -.4550E+01   
   12.4000   -.5825E-03   -.4450E+01   -.4543E+01   -.4547E+01   
   12.8750   -.5592E-03   -.4457E+01   -.4540E+01   -.4544E+01   
   13.3500   -.5391E-03   -.4464E+01   -.4538E+01   -.4541E+01   
   13.8250   -.5220E-03   -.4470E+01   -.4535E+01   -.4539E+01   
   14.3000   -.5070E-03   -.4474E+01   -.4534E+01   -.4537E+01   
   14.7750   -.4937E-03   -.4477E+01   -.4533E+01   -.4535E+01   
   15.2500   -.4821E-03   -.4481E+01   -.4531E+01   -.4534E+01   
   15.7250   -.4722E-03   -.4485E+01   -.4530E+01   -.4532E+01   
   16.2000   -.4635E-03   -.4487E+01   -.4530E+01   -.4532E+01   
   16.6750   -.4557E-03   -.4489E+01   -.4530E+01   -.4531E+01   
   17.1500   -.4487E-03   -.4492E+01   -.4530E+01   -.4530E+01   
   17.6250   -.4426E-03   -.4494E+01   -.4530E+01   -.4530E+01   
   18.1000   -.4371E-03   -.4495E+01   -.4530E+01   -.4529E+01   
   18.5750   -.4319E-03   -.4496E+01   -.4531E+01   -.4529E+01   
   19.0500   -.4268E-03   -.4497E+01   -.4532E+01   -.4529E+01   
   19.5250   -.4220E-03   -.4498E+01   -.4532E+01   -.4529E+01   
   20.0000   -.4173E-03   -.4499E+01   -.4533E+01   -.4529E+01   
