          Time          EPELX           EPELY           EPELZ          EPELXY          EPELYZ          EPELXZ           EPEL1          EPEL2          EPEL3         EPELINT          EPELEQ
   1.00000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   2.00000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   3.50000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   5.75000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.87500E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   1.00000E-04     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   1.09900E-03    4.98000E-04   -1.00000E-03    4.98000E-04   -7.58942E-19    5.96311E-19    8.13152E-19    4.98000E-04    4.98000E-04   -1.00000E-03    1.49800E-03    9.98667E-04
   2.09800E-03    9.96000E-04   -2.00000E-03    9.96000E-04    2.16840E-19    1.95156E-18   -1.95156E-18    9.96000E-04    9.96000E-04   -2.00000E-03    2.99600E-03    1.99733E-03
   3.09800E-03    1.49450E-03   -3.00100E-03    1.49450E-03    5.42101E-18   -3.14419E-18   -2.71051E-18    1.49450E-03    1.49450E-03   -3.00100E-03    4.49550E-03    2.99700E-03
   4.09800E-03    1.99300E-03   -4.00200E-03    1.99300E-03   -4.33681E-18   -7.58942E-18    3.03577E-18    1.99300E-03    1.99300E-03   -4.00200E-03    5.99500E-03    3.99667E-03
   5.09800E-03    2.27519E-03   -4.56865E-03    2.27519E-03   -1.06915E-17   -8.11766E-18    1.18795E-18    2.27519E-03    2.27519E-03   -4.56865E-03    6.84383E-03    4.56256E-03
   6.09800E-03    2.21011E-03   -4.43797E-03    2.21011E-03   -2.09538E-17   -1.11173E-18    5.95562E-18    2.21011E-03    2.21011E-03   -4.43797E-03    6.64808E-03    4.43206E-03
   7.09800E-03    2.14503E-03   -4.30730E-03    2.14503E-03   -1.14391E-17   -1.35841E-17    9.35037E-18    2.14503E-03    2.14503E-03   -4.30730E-03    6.45233E-03    4.30155E-03
   8.09800E-03    2.07996E-03   -4.17662E-03    2.07996E-03   -8.99783E-18   -7.27382E-18    2.16822E-17    2.07996E-03    2.07996E-03   -4.17662E-03    6.25658E-03    4.17105E-03
   9.09800E-03    2.01488E-03   -4.04595E-03    2.01488E-03   -1.17722E-17   -4.66594E-18    6.09683E-18    2.01488E-03    2.01488E-03   -4.04595E-03    6.06083E-03    4.04055E-03
   1.00980E-02    1.94981E-03   -3.91527E-03    1.94981E-03   -1.78745E-17    1.42642E-18    8.09169E-18    1.94981E-03    1.94981E-03   -3.91527E-03    5.86508E-03    3.91005E-03
   1.10980E-02    1.88473E-03   -3.78460E-03    1.88473E-03   -1.17533E-17   -2.23976E-18    6.56090E-18    1.88473E-03    1.88473E-03   -3.78460E-03    5.66933E-03    3.77955E-03
   1.20980E-02    1.81965E-03   -3.65392E-03    1.81965E-03   -1.22813E-17   -3.69570E-18    7.65600E-18    1.81965E-03    1.81965E-03   -3.65392E-03    5.47358E-03    3.64905E-03
   1.30980E-02    1.75458E-03   -3.52325E-03    1.75458E-03   -1.65116E-17   -5.42144E-18    1.19888E-18    1.75458E-03    1.75458E-03   -3.52325E-03    5.27783E-03    3.51855E-03
   1.40980E-02    1.68950E-03   -3.39258E-03    1.68950E-03   -2.21302E-17   -4.87963E-19   -6.25336E-18    1.68950E-03    1.68950E-03   -3.39258E-03    5.08208E-03    3.38805E-03
   1.50980E-02    1.62443E-03   -3.26190E-03    1.62443E-03   -3.57362E-17    4.78769E-18   -1.34947E-19    1.62443E-03    1.62443E-03   -3.26190E-03    4.88633E-03    3.25755E-03
