          Time             SX              SY              SZ             SXY             SYZ             SXZ              S1             S2             S3            SINT             SEQ            SEPL            SRAT          HPRESS
   1.00000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   2.00000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   3.50000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   5.75000E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   7.87500E-05     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   1.00000E-04     0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
   1.09900E-03    2.13163E-14    -1.5000        1.42109E-14   -3.79977E-16    2.98554E-16    4.07119E-16     0.0000         0.0000        -1.5000         1.5000         1.5000         0.0000         0.0000       -0.50000
   2.09800E-03   -5.68434E-14    -3.0000       -4.26326E-14    1.08565E-16    9.77085E-16   -9.77085E-16     0.0000         0.0000        -3.0000         3.0000         3.0000         0.0000         0.0000        -1.0000
   3.09800E-03     0.0000        -4.5015         0.0000        2.71412E-15   -1.57419E-15   -1.35706E-15     0.0000         0.0000        -4.5015         4.5015         4.5015         0.0000         0.0000        -1.5005
   4.09800E-03    2.84217E-14    -6.0030        2.84217E-14   -2.17130E-15   -3.79977E-15    1.51991E-15     0.0000         0.0000        -6.0030         6.0030         6.0030         0.0000         0.0000        -2.0010
   5.09800E-03   -3.27258E-04    -6.8533       -3.27258E-04   -5.35291E-15   -4.06425E-15    5.94768E-16   -3.27258E-04   -3.27258E-04    -6.8533         6.8530         6.8530         0.0000         1.0000        -2.2847
   6.09800E-03   -5.26371E-04    -6.6575       -5.26371E-04   -1.04909E-14   -5.56610E-16    2.98179E-15   -5.26371E-04   -5.26371E-04    -6.6575         6.6570         6.6570         0.0000         1.0000        -2.2195
   7.09800E-03   -1.09340E-06    -6.4609       -1.09340E-06   -5.72718E-15   -6.80114E-15    4.68143E-15   -1.09340E-06   -1.09340E-06    -6.4609         6.4609         6.4609         0.0000         1.0000        -2.1537
